loop_id;module;function_name;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;
4;binary;baseline;;Innermost;53.24;52.91;52.91;52.91;52.91;
3;binary;init_array;;Single;0.1;0.1;0.1;0.1;0.1;
